Day;Hour;Wave;Wave Distance;Total Wave Distance;Speed;Max Speed
2024-10-23; 18:48:23; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:24; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:25; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:26; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:26; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:27; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:28; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:28; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:29; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:30; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:31; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:31; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:32; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:33; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:33; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:34; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:35; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:36; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:36; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:37; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:38; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:38; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:39; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:40; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:41; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:41; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:42; 0;0.000000;0.000000;1.085477;0.000000;
2024-10-23; 18:48:43; 0;0.000000;0.000000;1.214088;0.000000;
2024-10-23; 18:48:43; 0;0.000000;0.000000;1.214088;0.000000;
2024-10-23; 18:48:44; 0;0.000000;0.000000;1.214088;0.000000;
2024-10-23; 18:48:45; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:46; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:46; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:47; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:48; 0;0.000000;0.000000;0.000000;0.000000;
2024-10-23; 18:48:48; 0;0.000000;0.000000;2.567075;0.000000;
2024-10-23; 18:48:49; 0;0.000000;0.000000;2.567075;0.000000;
2024-10-23; 18:48:50; 1;0.000000;0.000000;3.132964;3.132964;
2024-10-23; 18:48:50; 1;0.000000;0.000000;3.132964;3.132964;
2024-10-23; 18:48:51; 1;0.000000;0.000000;3.565097;3.565097;
2024-10-23; 18:48:52; 1;0.000000;0.000000;3.565097;3.565097;
2024-10-23; 18:48:52; 1;0.000000;0.000000;3.019786;3.565097;
2024-10-23; 18:48:53; 1;0.000000;0.000000;3.019786;3.565097;
2024-10-23; 18:48:54; 1;0.000000;0.000000;3.081520;3.565097;
2024-10-23; 18:48:55; 1;0.000000;0.000000;3.081520;3.565097;
2024-10-23; 18:48:55; 1;0.000000;0.000000;2.937475;3.565097;
2024-10-23; 18:48:56; 1;0.000000;0.000000;2.335576;3.565097;
2024-10-23; 18:48:57; 1;0.000000;0.000000;2.335576;3.565097;
2024-10-23; 18:48:57; 1;0.000000;0.000000;1.352988;3.565097;
2024-10-23; 18:48:58; 2;23.851852;23.851852;1.352988;3.565097;
2024-10-23; 18:48:59; 2;0.000000;23.851852;0.262366;3.565097;
2024-10-23; 18:49:00; 2;0.000000;23.851852;0.262366;3.565097;
2024-10-23; 18:49:00; 2;0.000000;23.851852;0.000000;3.565097;
2024-10-23; 18:49:01; 2;0.000000;23.851852;0.000000;3.565097;
2024-10-23; 18:49:02; 1;0.000000;23.851852;3.446775;3.446775;
2024-10-23; 18:49:02; 1;0.000000;23.851852;3.210130;3.446775;
2024-10-23; 18:49:03; 1;0.000000;23.851852;3.210130;3.446775;
2024-10-23; 18:49:04; 1;0.000000;23.851852;3.271864;3.446775;
2024-10-23; 18:49:05; 1;0.000000;23.851852;3.271864;3.446775;
2024-10-23; 18:49:05; 1;0.000000;23.851852;2.973486;3.446775;
2024-10-23; 18:49:06; 1;0.000000;23.851852;2.973486;3.446775;
2024-10-23; 18:49:07; 1;0.000000;23.851852;3.287297;3.446775;
2024-10-23; 18:49:08; 1;0.000000;23.851852;3.287297;3.446775;
2024-10-23; 18:49:08; 1;0.000000;23.851852;2.983775;3.446775;
2024-10-23; 18:49:09; 2;23.683132;47.534985;1.646221;3.446775;
2024-10-23; 18:49:10; 2;0.000000;47.534985;1.646221;3.446775;
2024-10-23; 18:49:11; 2;0.000000;47.534985;0.689355;3.446775;
2024-10-23; 18:49:11; 2;0.000000;47.534985;0.689355;3.446775;
2024-10-23; 18:49:12; 2;0.000000;47.534985;0.905421;3.446775;
2024-10-23; 18:49:13; 2;0.000000;47.534985;0.905421;3.446775;
2024-10-23; 18:49:14; 2;0.000000;47.534985;0.735655;3.446775;
2024-10-23; 18:49:14; 2;0.000000;47.534985;0.735655;3.446775;
2024-10-23; 18:49:15; 2;0.000000;47.534985;0.000000;3.446775;
2024-10-23; 18:49:16; 2;0.000000;47.534985;0.000000;3.446775;
2024-10-23; 18:49:17; 2;0.000000;47.534985;0.000000;3.446775;
2024-10-23; 18:49:17; 2;0.000000;47.534985;2.356153;3.446775;
2024-10-23; 18:49:18; 2;0.000000;47.534985;2.356153;3.446775;
2024-10-23; 18:49:19; 1;0.000000;47.534985;3.215275;3.215275;
2024-10-23; 18:49:20; 1;0.000000;47.534985;3.215275;3.215275;
2024-10-23; 18:49:20; 1;0.000000;47.534985;3.657697;3.657697;
2024-10-23; 18:49:21; 1;0.000000;47.534985;4.007519;4.007519;
2024-10-23; 18:49:22; 1;0.000000;47.534985;4.007519;4.007519;
2024-10-23; 18:49:22; 1;0.000000;47.534985;3.369608;4.007519;
2024-10-23; 18:49:23; 1;0.000000;47.534985;3.369608;4.007519;
2024-10-23; 18:49:24; 2;19.845442;67.380424;1.929165;4.007519;
2024-10-23; 18:49:25; 2;0.000000;67.380424;1.929165;4.007519;
2024-10-23; 18:49:25; 2;0.000000;67.380424;0.704788;4.007519;
2024-10-23; 18:49:26; 2;0.000000;67.380424;0.704788;4.007519;
2024-10-23; 18:49:27; 2;0.000000;67.380424;0.000000;4.007519;
2024-10-23; 18:49:28; 2;0.000000;67.380424;0.000000;4.007519;
2024-10-23; 18:49:28; 2;0.000000;67.380424;0.000000;4.007519;
2024-10-23; 18:49:29; 2;0.000000;67.380424;0.000000;4.007519;
2024-10-23; 18:49:30; 2;0.000000;67.380424;0.000000;4.007519;
2024-10-23; 18:49:31; 1;0.000000;67.380424;3.904630;3.904630;
2024-10-23; 18:49:31; 1;0.000000;67.380424;3.827463;3.904630;
2024-10-23; 18:49:32; 1;0.000000;67.380424;3.827463;3.904630;
2024-10-23; 18:49:33; 1;0.000000;67.380424;3.523942;3.904630;
2024-10-23; 18:49:34; 1;0.000000;67.380424;3.523942;3.904630;
2024-10-23; 18:49:34; 1;0.000000;67.380424;3.364464;3.904630;
2024-10-23; 18:49:35; 1;0.000000;67.380424;3.364464;3.904630;
2024-10-23; 18:49:36; 1;0.000000;67.380424;3.246142;3.904630;
2024-10-23; 18:49:37; 1;0.000000;67.380424;2.834586;3.904630;
2024-10-23; 18:49:37; 1;0.000000;67.380424;2.834586;3.904630;
2024-10-23; 18:49:38; 1;0.000000;67.380424;0.226355;3.904630;
2024-10-23; 18:49:39; 2;21.299057;88.679482;0.226355;3.904630;
2024-10-23; 18:49:39; 2;0.000000;88.679482;0.000000;3.904630;
2024-10-23; 18:49:40; 2;0.000000;88.679482;0.000000;3.904630;
2024-10-23; 18:49:41; 2;0.000000;88.679482;0.000000;3.904630;
2024-10-23; 18:49:42; 2;0.000000;88.679482;0.000000;3.904630;
2024-10-23; 18:49:42; 2;0.000000;88.679482;0.000000;3.904630;
2024-10-23; 18:49:43; 2;0.000000;88.679482;0.000000;3.904630;
2024-10-23; 18:49:44; 1;0.000000;88.679482;3.287297;3.287297;
2024-10-23; 18:49:45; 1;0.000000;88.679482;3.714286;3.287297;
2024-10-23; 18:49:45; 1;0.000000;88.679482;3.714286;3.714286;
2024-10-23; 18:49:46; 1;0.000000;88.679482;4.269885;4.269885;
2024-10-23; 18:49:47; 1;0.000000;88.679482;4.269885;4.269885;
2024-10-23; 18:49:47; 1;0.000000;88.679482;3.740008;4.269885;
2024-10-23; 18:49:48; 1;0.000000;88.679482;3.740008;4.269885;
2024-10-23; 18:49:49; 1;0.000000;88.679482;3.601108;4.269885;
2024-10-23; 18:49:50; 1;0.000000;88.679482;3.292442;4.269885;
2024-10-23; 18:49:50; 1;0.000000;88.679482;3.292442;4.269885;
2024-10-23; 18:49:51; 2;25.960075;114.639557;1.574199;4.269885;
2024-10-23; 18:49:52; 2;0.000000;114.639557;1.574199;4.269885;
2024-10-23; 18:49:53; 2;0.000000;114.639557;1.090621;4.269885;
2024-10-23; 18:49:53; 2;0.000000;114.639557;1.090621;4.269885;
2024-10-23; 18:49:54; 2;0.000000;114.639557;1.126632;4.269885;
2024-10-23; 18:49:55; 2;0.000000;114.639557;1.100910;4.269885;
2024-10-23; 18:49:56; 2;0.000000;114.639557;1.100910;4.269885;
2024-10-23; 18:49:56; 2;0.000000;114.639557;1.152355;4.269885;
2024-10-23; 18:49:57; 2;0.000000;114.639557;1.152355;4.269885;
2024-10-23; 18:49:58; 2;0.000000;114.639557;1.142066;4.269885;
